time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,identity,updated,place,type,id
2015-06-14T22:22:20.280Z,27.2965,140.1124,371.76,4.8,mb,54,55,56,0.89,us,us20002pss,2015-06-15T06:25:03.413Z,"209km W of Chichi-shima, Japan",earthquake,139
2015-06-14T22:07:06.190Z,33.8928333,-117.2036667,18.543,1.08,ml,9,81,0.03521,0.29,ci,ci37400160,2015-06-14T22:11:37.716Z,"4km SSE of Moreno Valley, California",earthquake,140
2015-06-14T21:57:29.830Z,33.3301667,-116.2736667,10.227,0.88,ml,28,58,0.1351,0.22,ci,ci37400144,2015-06-15T13:53:48.789Z,"12km NE of Borrego Springs, California",earthquake,141
2015-06-14T21:54:15.210Z,-11.397,163.2131,43.98,4.7,mb,64,83,3.755,0.85,us,us20002psn,2015-06-15T05:56:55.622Z,"175km SE of Kirakira, Solomon Islands",earthquake,142
2015-06-14T21:54:14.170Z,32.8213333,-115.6001667,8.185,1.71,ml,23,114,0.08654,0.22,ci,ci37400136,2015-06-14T22:04:38.490Z,"4km SW of Imperial, California",earthquake,143
2015-06-14T21:49:25.370Z,33.6986667,-116.8061667,14.564,0.83,ml,42,40,0.07679,0.27,ci,ci37400120,2015-06-15T13:55:08.410Z,"9km WSW of Idyllwild, California",earthquake,144
2015-06-14T21:18:40.750Z,33.3265,-116.2778333,9.857,1.23,ml,37,57,0.1304,0.17,ci,ci37400096,2015-06-15T13:54:23.778Z,"12km NE of Borrego Springs, California",earthquake,145
2015-06-14T21:16:24.400Z,33.9226667,-118.3025,5.389,1.6,ml,35,67,0.04698,0.31,ci,ci37400088,2015-06-15T01:21:04.524Z,"4km N of Gardena, California",earthquake,146
2015-06-14T20:18:41.650Z,33.3188333,-116.2873333,11.407,1.62,ml,62,20,0.1199,0.21,ci,ci37400064,2015-06-15T13:55:19.000Z,"11km NE of Borrego Springs, California",earthquake,147
2015-06-14T20:13:41.230Z,33.3588333,-116.3668333,10.234,0.83,ml,32,77,0.09973,0.24,ci,ci37400056,2015-06-15T01:19:44.241Z,"12km N of Borrego Springs, California",earthquake,148
2015-06-14T20:12:15.962Z,40.062,-120.0867,11.411,0.21,ml,4,193.69,0.164,0.0992,nn,nn00498642,2015-06-15T19:54:31.340Z,"42km NE of Portola, California",earthquake,149
2015-06-14T20:06:33.140Z,32.8266667,-115.6023333,4.878,1.48,ml,18,112,0.1088,0.19,ci,ci37400048,2015-06-15T01:18:56.399Z,"4km SW of Imperial, California",earthquake,150
